respondent Number,chocolate bought,1. buying frequency,5a) značka,5b) chuť,5c) země,5d) cena,5e) odpovědnost,5f) jiné,4. how much pay more,5. FT price,I. gender,II. Income,III. Country,region
83,A Fairtrade,e - less frequently,0,1,0,0,0,0,b) 1-10 %,60,a) male,a) no,USA,W
84,A Fairtrade,e - less frequently,0,1,0,1,0,0,c) 11-30 %,60,a) male,a) no,USA,W
86,A Fairtrade,d - once in a month,3,2,5,4,5,0,b) 1-10 %,60,a) male,a) no,USA,W
87,B normal,c - once in 2 weeks,1,7,4,2,5,0,b) 1-10 %,41,a) male,b) < 5 000 CZK,CZ,W
88,B normal,b - once a week,3,2,4,1,5,0,b) 1-10 %,55,b) female,a) no,CZ,W
89,B normal,d - once in a month,4,1,3,2,5,0,a) 0 %,40,a) male,f) >20000,CZ,W
90,B normal,b - once a week,3,2,4,1,5,0,d) 31 - 50 %,65,b) female,a) no,CZ,W
91,B normal,e - less frequently,,,,,,,b) 1-10 %,65,a) male,d) 10000-15000 CZK,CZ,W
92,A Fairtrade,c - once in 2 weeks,4,1,3,2,5,0,c) 11-30 %,50,a) male,b) < 5 000 CZK,CZ,W
93,A Fairtrade,e - less frequently,3,2,4,1,5,0,d) 31 - 50 %,100,a) male,d) 10000-15000 CZK,Slovakia,E
94,B normal,c - once in 2 weeks,3,1,5,2,4,6,c) 11-30 %,55,a) male,d) 10000-15000 CZK,CZ,W
95,A Fairtrade,a - several times per week,3,1,5,2,4,0,b) 1-10 %,50,b) female,a) no,Ukraine,E
96,B normal,d - once in a month,3,2,5,1,4,0,c) 11-30 %,60,b) female,f) >20000,CZ,W
97,A Fairtrade,d - once in a month,4,1,5,2,3,0,d) 31 - 50 %,65,a) male,c) 5000-10000 CZK,CZ,W
98,B normal,e - less frequently,0,1,0,0,0,0,a) 0 %,40,a) male,e) 15000-20000,CZ,W
99,B normal,c - once in 2 weeks,3,1,4,2,5,0,d) 31 - 50 %,55,a) male,b) < 5 000 CZK,CZ,W
100,B normal,d - once in a month,5,1,3,2,4,0,b) 1-10 %,50,b) female,b) < 5 000 CZK,CZ,W
101,B normal,e - less frequently,0,1,0,1,0,0,b) 1-10 %,50,a) male,a) no,CZ,W
102,B normal,d - once in a month,2,3,4,1,5,0,c) 11-30 %,45,a) male,b) < 5 000 CZK,CZ,W
103,B normal,b - once a week,0,0,1,0,0,0,c) 11-30 %,50,a) male,f) >20000,CZ,W
104,B normal,a - several times per week,1,3,4,2,5,0,a) 0 %,40,a) male,d) 10000-15000 CZK,Russia,E
105,B normal,e - less frequently,0,1,0,0,0,0,b) 1-10 %,45,a) male,d) 10000-15000 CZK,CZ,W
106,B normal,d - once in a month,6,5,4,1,2,3 den v měsíci,a) 0 %,50,b) female,d) 10000-15000 CZK,CZ,W
107,A Fairtrade,d - once in a month,4,1,5,2,3,0,c) 11-30 %,80,b) female,a) no,CZ,W
108,A Fairtrade,d - once in a month,5,1,4,2,3,6,c) 11-30 %,60,a) male,c) 5000-10000 CZK,CZ,W
109,A Fairtrade,b - once a week,3,1,5,2,4,0,b) 1-10 %,60,b) female,d) 10000-15000 CZK,CZ,W
110,A Fairtrade,d - once in a month,2,1,4,3,5,0,c) 11-30 %,50,b) female,d) 10000-15000 CZK,CZ,W
111,A Fairtrade,a - several times per week,4,1,5,2,3,0,b) 1-10 %,47.5,a) male,b) < 5 000 CZK,CZ,W
112,A Fairtrade,e - less frequently,0,0,0,1,0,0,c) 11-30 %,60,b) female,b) < 5 000 CZK,CZ,W
113,A Fairtrade,b - once a week,1,2,5,3,4,0,b) 1-10 %,100,b) female,a) no,CZ,W
114,A Fairtrade,e - less frequently,1,3,2,4,5,6 - vzhled balení,c) 11-30 %,45,a) male,a) no,CZ,W
115,A Fairtrade,b - once a week,1,3,0,2,0,0,c) 11-30 %,60,a) male,a) no,CZ,W
116,A Fairtrade,d - once in a month,1,1,0,1,0,0,c) 11-30 %,80,b) female,c) 5000-10000 CZK,CZ,W
119,A Fairtrade,d - once in a month,3,1,5,2,4,0,d) 31 - 50 %,60,b) female,c) 5000-10000 CZK,CZ,W
120,A Fairtrade,d - once in a month,2,1,4,3,5,0,d) 31 - 50 %,80,b) female,c) 5000-10000 CZK,CZ,W
121,A Fairtrade,d - once in a month,0,1,0,0,0,0,c) 11-30 %,70,b) female,b) < 5 000 CZK,CZ,W
122,A Fairtrade,b - once a week,0,0,0,1,0,0,b) 1-10 %,45,b) female,a) no,CZ,W
123,A Fairtrade,c - once in 2 weeks,1,2,4,3,5,0,c) 11-30 %,60,b) female,a) no,Russia,E
124,A Fairtrade,e - less frequently,3,1,4,2,5,0,c) 11-30 %,60,b) female,c) 5000-10000 CZK,CZ,W
125,A Fairtrade,b - once a week,4,1,5,2,3,složení (kupuji bez cukru - se sladidly,c) 11-30 %,67.5,b) female,c) 5000-10000 CZK,CZ,W
126,A Fairtrade,e - less frequently,3,1,5,2,4,0,c) 11-30 %,60,a) male,a) no,CZ,W
127,A Fairtrade,a - several times per week,5,2,4,3,1,0,d) 31 - 50 %,100,b) female,a) no,USA,W
128,B normal,a - several times per week,0,1,0,1,0,0,g) více než 100 %,90,a) male,f) >20000,USA,W
129,A Fairtrade,b - once a week,0,1,0,0,0,0,c) 11-30 %,60,a) male,a) no,CZ,W
131,A Fairtrade,e - less frequently,0,1,0,0,0,0,c) 11-30 %,60,b) female,a) no,USA,W
132,A Fairtrade,e - less frequently,3,1,4,2,5,0,b) 1-10 %,60,b) female,a) no,USA,W
133,B normal,c - once in 2 weeks,2,1,4,3,5,0,c) 11-30 %,50,a) male,a) no,USA,W
134,A Fairtrade,c - once in 2 weeks,3,1,5,2,4,0,c) 11-30 %,80,b) female,a) no,USA,W
135,B normal,a - several times per week,0,1,0,1,0,0,c) 11-30 %,46,b) female,a) no,USA,W
136,A Fairtrade,e - less frequently,4,1,0,2,3,0,d) 31 - 50 %,70,b) female,a) no,USA,W
137,A Fairtrade,d - once in a month,0,1,0,0,1,0,c) 11-30 %,70,b) female,a) no,Bolivia,jiné
138,A Fairtrade,c - once in 2 weeks,0,1,0,0,0,0,b) 1-10 %,60,a) male,a) no,USA,W
139,B normal,a - several times per week,3,1,4,2,5,0,b) 1-10 %,40,b) female,a) no,USA,W
140,A Fairtrade,e - less frequently,1,1,0,1,1,0,b) 1-10 %,80,b) female,c) 5000-10000 CZK,CZ,W
141,A Fairtrade,c - once in 2 weeks,3,1,5,2,4,0,d) 31 - 50 %,70,a) male,a) no,CZ,W
142,A Fairtrade,e - less frequently,3,2,5,1,4,0,c) 11-30 %,60,a) male,c) 5000-10000 CZK,CZ,W
143,B normal,e - less frequently,3,1,5,2,4,0,b) 1-10 %,55,b) female,c) 5000-10000 CZK,CZ,W
144,A Fairtrade,a - several times per week,3,1,5,2,4,0,c) 11-30 %,68,b) female,b) < 5 000 CZK,Russia,E
145,B normal,e - less frequently,3,1,5,2,4,6,c) 11-30 %,70,a) male,a) no,CZ,W
146,A Fairtrade,c - once in 2 weeks,1,1,0,0,0,0,c) 11-30 %,70,b) female,c) 5000-10000 CZK,CZ,W
147,B normal,a - several times per week,0,1,0,0,0,0,c) 11-30 %,50,a) male,a) no,CZ,W
148,A Fairtrade,b - once a week,1,2,0,3,0,0,c) 11-30 %,60,b) female,a) no,Slovakia,E
149,A Fairtrade,e - less frequently,5,1,4,2,3,0,d) 31 - 50 %,60,a) male,b) < 5 000 CZK,CZ,W
150,B normal,d - once in a month,3,1,4,2,5,0,b) 1-10 %,50,b) female,a) no,Slovakia,E
151,B normal,e - less frequently,3,2,5,1,4,0,b) 1-10 %,45,a) male,c) 5000-10000 CZK,CZ,W
152,A Fairtrade,e - less frequently,2,1,5,4,3,6,d) 31 - 50 %,70,b) female,c) 5000-10000 CZK,Slovakia,E
153,A Fairtrade,b - once a week,4,1,2,5,3,0,d) 31 - 50 %,250,b) female,f) >20000,CZ,W
154,B normal,a - several times per week,3,1,4,2,5,0,c) 11-30 %,55,b) female,a) no,CZ,W
155,B normal,c - once in 2 weeks,0,1,0,0,0,0,b) 1-10 %,48,b) female,e) 15000-20000,CZ,W
156,B normal,b - once a week,4,1,3,2,5,0,b) 1-10 %,47.5,a) male,b) < 5 000 CZK,CZ,W
157,A Fairtrade,e - less frequently,4,1,5,2,3,6,c) 11-30 %,60,a) male,d) 10000-15000 CZK,CZ,W
158,B normal,d - once in a month,4,1,2,3,5,0,c) 11-30 %,52.5,b) female,d) 10000-15000 CZK,CZ,W
159,B normal,d - once in a month,2,1,5,3,4,0,c) 11-30 %,50,b) female,f) >20000,CZ,W
160,A Fairtrade,c - once in 2 weeks,3,1,5,2,4,0,c) 11-30 %,50,b) female,a) no,Slovakia,E
161,A Fairtrade,b - once a week,5,7,2,5,5,0,c) 11-30 %,60,b) female,e) 15000-20000,CZ,W
162,B normal,d - once in a month,3,1,4,2,5,0,b) 1-10 %,50,b) female,d) 10000-15000 CZK,CZ,W
163,B normal,d - once in a month,3,1,4,2,5,0,a) 0 %,40,a) male,e) 15000-20000,CZ,W
164,A Fairtrade,d - once in a month,5,1,4,2,3,0,c) 11-30 %,70,b) female,c) 5000-10000 CZK,Slovakia,E
165,B normal,c - once in 2 weeks,2,1,4,3,5,0,b) 1-10 %,50,b) female,b) < 5 000 CZK,CZ,W
166,A Fairtrade,d - once in a month,1,2,4,3,5,0,c) 11-30 %,100,b) female,b) < 5 000 CZK,CZ,W
167,B normal,e - less frequently,3,1,4,2,5,0,b) 1-10 %,60,a) male,d) 10000-15000 CZK,CZ,W
168,B normal,c - once in 2 weeks,3,1,4,2,5,0,b) 1-10 %,50,b) female,a) no,CZ,W
169,B normal,d - once in a month,1,3,5,2,4,0,c) 11-30 %,55,a) male,d) 10000-15000 CZK,Slovakia,E
171,A Fairtrade,e - less frequently,4,1,5,3,2,0,c) 11-30 %,60,b) female,c) 5000-10000 CZK,CZ,W
172,B normal,b - once a week,4,1,3,2,5,0,c) 11-30 %,50,b) female,d) 10000-15000 CZK,Slovakia,E
173,A Fairtrade,e - less frequently,4,1,4,2,2,0,d) 31 - 50 %,25,b) female,a) no,CZ,W
175,A Fairtrade,e - less frequently,3,1,5,2,4,0,c) 11-30 %,80,b) female,c) 5000-10000 CZK,CZ,W
176,B normal,d - once in a month,2,1,4,3,5,0,a) 0 %,60,a) male,c) 5000-10000 CZK,CZ,W
177,A Fairtrade,d - once in a month,2,1,4,3,5,0,d) 31 - 50 %,100,b) female,c) 5000-10000 CZK,CZ,W
178,B normal,b - once a week,4,2,5,3,6,ingredients,b) 1-10 %,50,b) female,d) 10000-15000 CZK,Russia,E
179,A Fairtrade,d - once in a month,4,1,2,3,5,0,d) 31 - 50 %,70,b) female,e) 15000-20000,CZ,W
180,A Fairtrade,e - less frequently,4,1,5,2,3,0,d) 31 - 50 %,120,b) female,d) 10000-15000 CZK,CZ,W
181,B normal,e - less frequently,3,1,4,2,5,0,c) 11-30 %,55,a) male,c) 5000-10000 CZK,CZ,W
182,A Fairtrade,d - once in a month,3,1,5,2,4,0,b) 1-10 %,55,b) female,b) < 5 000 CZK,CZ,W
183,A Fairtrade,e - less frequently,3,1,5,2,4,0,c) 11-30 %,70,b) female,c) 5000-10000 CZK,CZ,W
184,B normal,d - once in a month,4,1,3,2,5,0,b) 1-10 %,60,a) male,d) 10000-15000 CZK,CZ,W
185,A Fairtrade,d - once in a month,2,1,5,3,4,0,c) 11-30 %,70,b) female,c) 5000-10000 CZK,CZ,W
186,A Fairtrade,d - once in a month,2,1,4,3,5,0,b) 1-10 %,80,b) female,e) 15000-20000,Slovakia,E
187,A Fairtrade,c - once in 2 weeks,2,1,4,3,4,0,b) 1-10 %,70,b) female,a) no,CZ,W
188,A Fairtrade,d - once in a month,4,1,5,2,3,0,c) 11-30 %,70,a) male,c) 5000-10000 CZK,CZ,W
189,A Fairtrade,d - once in a month,4,1,3,2,5,0,c) 11-30 %,55,a) male,b) < 5 000 CZK,CZ,W
190,A Fairtrade,b - once a week,5,1,3,2,4,0,d) 31 - 50 %,90,b) female,d) 10000-15000 CZK,CZ,W
