respondent Number,chocolate bought,1. buying frequency,5a) značka,5b) chuť,5c) země,5d) cena,5e) odpovědnost,5f) jiné,4. how much pay more,5. FT price,I. gender,II. Income,III. Country,region
247,A Fairtrade,e - less frequently,3,2,4,1,5,6,b) 1-10 %,60,a) male,a) no,Azerbaijan,E
248,A Fairtrade,c - once in 2 weeks,0,1,0,0,0,0,e) 51 - 80 %,0,a) male,e) 15000-20000,Kazakhstan,E
249,A Fairtrade,c - once in 2 weeks,3,1,4,2,5,0,c) 11-30 %,75,b) female,a) no,Azerbaijan,E
250,B normal,d - once in a month,0,1,0,1,0,0,d) 31 - 50 %,112.5,a) male,e) 15000-20000,India / Indonesia,jiné
251,A Fairtrade,e - less frequently,1,0,0,0,0,0,c) 11-30 %,80,a) male,d) 10000-15000 CZK,China,jiné
252,A Fairtrade,e - less frequently,2,1,4,3,2,0,c) 11-30 %,120,a) male,a) no,China,jiné
253,A Fairtrade,e - less frequently,2,1,3,4,5,0,e) 51 - 80 %,60,a) male,a) no,China,jiné
254,B normal,b - once a week,3,1,4,2,5,0,c) 11-30 %,50,a) male,a) no,Russia,E
255,B normal,d - once in a month,0,1,0,0,0,0,c) 11-30 %,60,b) female,a) no,China,jiné
256,A Fairtrade,b - once a week,5,1,4,2,3,0,c) 11-30 %,60,a) male,e) 15000-20000,CZ,W
257,B normal,d - once in a month,1,2,5,1,3,0,b) 1-10 %,0,0,0,0,0
258,A Fairtrade,c - once in 2 weeks,1,1,0,1,0,0,b) 1-10 %,50,b) female,a) no,CZ,W
259,A Fairtrade,c - once in 2 weeks,2,1,5,3,4,0,b) 1-10 %,60,a) male,a) no,CZ,W
260,A Fairtrade,d - once in a month,3,1,5,2,4,0,c) 11-30 %,60,b) female,c) 5000-10000 CZK,CZ,W
261,A Fairtrade,d - once in a month,5,1,4,3,2,0,b) 1-10 %,60,b) female,c) 5000-10000 CZK,Slovakia,E
262,A Fairtrade,e - less frequently,3,1,4,2,5,0,c) 11-30 %,100,b) female,c) 5000-10000 CZK,CZ,W
263,B normal,c - once in 2 weeks,3,1,4,2,5,0,b) 1-10 %,50,a) male,a) no,CZ,W
265,A Fairtrade,d - once in a month,0,1,0,0,0,0,d) 31 - 50 %,90,b) female,a) no,CZ,W
266,A Fairtrade,b - once a week,3,1,5,2,4,0,c) 11-30 %,50,b) female,c) 5000-10000 CZK,Russia,E
